latitude,longitude,Address,Hospital Type,Services Empanelled
13.5579178,78.4972145,"Area Hospital - Madanapalli,CHITTOOR, CHITTOOR, ANDHRA PRADESH",Public,BLANK
18.314282,83.8888757,"Rims Govt. General Hospital, Srikakulam,SRIKAKULAM, SRIKAKULAM, ANDHRA PRADESH",Public,BLANK
16.5133387,80.6189892,"Govt. General Hospital- Vijayawada,VIJAYAWADA, KRISHNA, ANDHRA PRADESH",Public,BLANK
18.1107128,83.3866177,"District Hospital - Vizianagaram,VIZIANAGARAM, VIZIANAGARAM, ANDHRA PRADESH",Public,BLANK
16.7139128,81.0941782,"District Hospital - Eluru,ELURU, WEST GODAVARI, ANDHRA PRADESH",Public,BLANK
16.8180635,81.5221686,"Area Hospital - Tadepalligudem,WEST GODAVARI, WEST GODAVARI, ANDHRA PRADESH",Public,BLANK
15.4878817,80.0471437,"Rajiv Gandhi Institute of Medical Sciences RIMS Ongole,ONGOLE, PRAKASAM, ANDHRA PRADESH",Public,BLANK
13.638842,79.410347,"Sri Venkateswara Institute Of Medical Sciences,TIRUPATHI, CHITTOOR, ANDHRA PRADESH",Public,BLANK
16.2371502,80.045286,"Area Hospital - Narsaraopet,GUNTUR, GUNTUR, ANDHRA PRADESH",Public,BLANK
16.9556927,82.2274281,"Government General Hospital,Kakinada,KAKINADA, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
13.2174696,79.0970551,"Area Hospital - Palamaneru,CHITTOOR, CHITTOOR, ANDHRA PRADESH",Public,BLANK
17.0143886,81.7775143,"District Hospital - Rajahmundry,EAST GODAVARI, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
17.668648,82.609044,"Area Hospital - Narsipatnam,VISAKHAPATNAM, VISAKHAPATANAM, ANDHRA PRADESH",Public,BLANK
17.7272738,83.3330929,"Govt Hospital For Chest And Communicable Diseases,Visakhapatnam, VISAKHAPATANAM, ANDHRA PRADESH",Public,BLANK
16.1905457,81.1361543,"District Hospital - Machilipatnam,MACHILIPATNAM, KRISHNA, ANDHRA PRADESH",Public,BLANK
18.772109,83.423098,"Area Hospital - Parvathipuram,VISIANAGARAM, VIZIANAGARAM, ANDHRA PRADESH",Public,BLANK
17.7302257,83.3307415,"Government Ent Hospital,Pedda Waltair,Opp Polamamba Temple Visakhapatnam, VISAKHAPATANAM, ANDHRA PRADESH",Public,BLANK
17.7087374,83.3060385,"King George Hospital,JAGADAMBA JUNCTION,VIZAG, VISAKHAPATANAM, ANDHRA PRADESH",Public,BLANK
16.8332968,82.0318356,"Area Hospital - Ramachandrapuram,EAST GODAVARI, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
16.7571026,81.68825,"Area Hospital - Tanuku,WEST GODAVARI, WEST GODAVARI, ANDHRA PRADESH",Public,BLANK
15.828724,80.358728,"Area Hospital - Cheerala,CHEERALA, PRAKASAM, ANDHRA PRADESH",Public,BLANK
16.506936,81.7404134,"CHC-Palakole,WEST GODAVARI, WEST GODAVARI, ANDHRA PRADESH",Public,BLANK
18.3068197,83.8945513,"Area Hospitalc - Palakonda,SRIKAKULAM, SRIKAKULAM, ANDHRA PRADESH",Public,BLANK
14.6709005,77.5943719,"Govt General Hospital Anantapur,ANANTHPUR, ANANTAPUR, ANDHRA PRADESH",Public,BLANK
16.3318261,80.489049,"Government General Hospital, Guntur,OPP RAILWAY STATION, GUNTUR, ANDHRA PRADESH",Public,BLANK
15.8188146,78.0397689,"Govt General Hospital Kurnool,KURNOOL, KURNOOL, ANDHRA PRADESH",Public,BLANK
12.7501742,78.3428004,"Area Hospital - Kuppam,CHITTOOR, CHITTOOR, ANDHRA PRADESH",Public,BLANK
16.2430769,80.6464837,"District Hospital - Tenali,GUNTUR, GUNTUR, ANDHRA PRADESH",Public,BLANK
13.2178021,79.0916895,"District Hospital - Chittoor,CHITTOOR, CHITTOOR, ANDHRA PRADESH",Public,BLANK
13.6447357,79.4057679,"S.V.R.R.Hospital,TIRUPATHI, CHITTOOR, ANDHRA PRADESH",Public,BLANK
15.9076006,80.4701117,"Area Hospital - Bapatla,bapatla, GUNTUR, ANDHRA PRADESH",Public,BLANK
